"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"68",0.931506849315068,0.975155279503106,0.969465648854962,0.979381443298969,0.940695296523517,0.959252971137521,0.980509745127436,0.986962190352021,0.923076923076923,0.98972602739726
"69",0.137614678899083,0.790697674418605,1,0.988095238095238,0.990196078431373,1,0.992063492063492,0.992857142857143,0.987577639751553,0.966850828729282
"70",0.0821917808219178,0.0627177700348432,0.604651162790698,0.630769230769231,0.309090909090909,1,0.590909090909091,0.5703125,0.565217391304348,0.576923076923077
"71",0.990566037735849,1,0.991561181434599,0.996129032258064,0.995560109289617,0.996555683122847,0.997679216090768,0.998258219028957,1,0.998934469898775
"72",1,0.991803278688525,0.98469387755102,0.985915492957746,0.984084880636605,0.98936170212766,0.990689013035382,0.987341772151899,0.991525423728814,0.992197659297789
"73",1,1,1,1,1,0.997222222222222,0.988235294117647,0.994797086368366,0.991803278688525,0.997590361445783
"74",1,0.998310810810811,1,1,1,1,1,1,0.998539612997444,1
"75",1,1,1,0.999761734572314,1,1,1,1,1,1
"76",0.9625,0.97979797979798,0.982876712328767,1,0.934615384615385,1,1,0.930424528301887,1,1
"77",0.0266666666666667,0.0821917808219178,0.076271186440678,0.0666666666666667,0.62962962962963,0.608695652173913,0.414414414414414,0.416,0.433823529411765,0.412903225806452
"78",0.958904109589041,0.964497041420118,0.980988593155893,0.931472081218274,0.969365426695842,0.978761061946903,0.943722943722944,0.988079470198675,1,0.988826815642458
"79",0.128440366972477,0.761904761904762,0.979166666666667,0.957746478873239,1,1,1,0.9921875,1,0.99390243902439
"80",0.0866666666666667,0.123287671232877,0.105932203389831,0.105555555555556,1,0.246376811594203,0.54954954954955,0.56,0.544117647058823,0.580645161290323
"81",0.988721804511278,0.984429065743945,0.991150442477876,0.99479843953186,0.996909340659341,0.99712395743457,0.997977755308392,0.999355808460382,0.999045072574484,0.99895178197065
"82",0.982758620689655,0.991735537190083,0.979695431472081,0.986159169550173,0.984210526315789,0.987341772151899,0.989051094890511,0.990461049284579,0.98744769874477,0.996173469387755
"83",0.936758893280632,1,1,1,1,1,0.989203778677463,0.995901639344262,0.998233215547703,0.995967741935484
"84",0.994444444444444,1,0.997765363128492,0.998306519898391,0.99870214146658,0.998348017621145,0.999160369437448,0.998780487804878,0.999134011690842,1
"85",1,1,1,1,1,1,1,1,1,1
"86",0.953488372093023,0.985221674876847,0.986577181208054,0.896551724137931,0.934489402697495,0.925986842105263,0.933793103448276,1,1,1
"87",0.027972027972028,0.043046357615894,0.0753138075313808,0.369230769230769,0.566666666666667,0.608695652173913,0.5875,0.619047619047619,0.403973509933775,0.390243902439024
"88",0.959459459459459,0.987730061349693,1,0.994428969359331,0.987012987012987,0.949122807017544,0.982008995502249,0.990752972258917,0.986469864698647,0.992108229988726
"89",0.0553359683794466,1,1,0.552845528455285,1,1,1,0.984732824427481,0.885350318471338,0.993827160493827
"90",0.0769230769230769,0.0596026490066225,0.112970711297071,0.615384615384615,0.3,1,0.3,1,0.549668874172185,0.603658536585366
